iter	Logloss
0	0.6836251073
1	0.6721664034
2	0.6612753963
3	0.652062155
4	0.6427354402
5	0.6340168493
6	0.626452627
7	0.6184254848
8	0.6104730304
9	0.6020576014
10	0.5943949299
11	0.5879186243
12	0.5822272759
13	0.5769825859
14	0.5709719089
15	0.565611781
16	0.5611138422
17	0.5572930872
18	0.5534162471
19	0.548667536
20	0.5445083015
21	0.5404923137
22	0.5361944409
23	0.5324344978
24	0.5289049077
25	0.5262592117
26	0.522341025
27	0.5184728835
28	0.5155721344
29	0.5129762727
30	0.5105027582
31	0.5078568351
32	0.5057136684
33	0.5030016951
34	0.5000855194
35	0.4980674384
36	0.4953758668
37	0.4934260283
38	0.4917081953
39	0.4888122405
40	0.4869948864
41	0.4850587964
42	0.4834738389
43	0.481108733
44	0.4790709199
45	0.4771306886
46	0.4758868806
47	0.4742296751
48	0.4728705903
49	0.4710062234
50	0.4693674069
51	0.4680370947
52	0.4661748944
53	0.4648695729
54	0.4635152056
55	0.4624003705
56	0.461021042
57	0.4596241815
58	0.4582232731
59	0.4566482265
60	0.4554552344
61	0.4543723778
62	0.4534592971
63	0.4522778541
64	0.4512216569
65	0.4502995948
66	0.4493747371
67	0.4483647586
68	0.4468658747
69	0.4462946656
70	0.4451497475
71	0.4441007021
72	0.4433438482
73	0.4425573857
74	0.441874632
75	0.4408629217
76	0.4399749054
77	0.439204917
78	0.4383106958
79	0.4372620069
80	0.4362639849
81	0.4354864266
82	0.4348111458
83	0.4336322071
84	0.432627304
85	0.4314944942
86	0.4309075189
87	0.4302093516
88	0.4294927712
89	0.4283364763
90	0.4274674193
91	0.4265567019
92	0.4257177026
93	0.4250561366
94	0.424447562
95	0.4237773188
96	0.4232245644
97	0.4226223436
98	0.4220915234
99	0.4215210421
100	0.4208122389
101	0.4204074563
102	0.4198336532
103	0.4191516769
104	0.4184231782
105	0.4176796295
106	0.4172041411
107	0.4166790192
108	0.4160947783
109	0.4153498324
110	0.4148629919
111	0.4144665065
112	0.413883255
113	0.4134799979
114	0.412601711
115	0.4121791069
116	0.4117645333
117	0.4112641589
118	0.4106746115
119	0.4103113258
120	0.4098576547
121	0.4092796225
122	0.4087599699
123	0.4083240135
124	0.4079641856
125	0.4075395306
126	0.4070623296
127	0.4066603619
128	0.4063536098
129	0.4059127553
130	0.4054493834
131	0.4048481232
132	0.404184619
133	0.4037482218
134	0.4035635882
135	0.4028045631
136	0.4023305276
137	0.4019005462
138	0.4015635871
139	0.4012976483
140	0.4008687005
141	0.4005229956
142	0.3999765755
143	0.3997227609
144	0.3994002529
145	0.3989504982
146	0.3986079158
147	0.3982242152
148	0.397936609
149	0.3974554473
150	0.3972944466
151	0.3971243018
152	0.396406802
153	0.3961327092
154	0.3958764556
155	0.3953595947
156	0.3949045726
157	0.3944053142
158	0.3940848525
159	0.3938344023
160	0.3936398528
161	0.3932862651
162	0.392837668
163	0.3926289788
164	0.3923507743
165	0.3920169479
166	0.3917131075
167	0.3915286838
168	0.3912690031
169	0.3910563634
170	0.3907487514
171	0.3904825651
172	0.3901647211
173	0.3897115767
174	0.3894292495
175	0.3891073621
176	0.3889311315
177	0.3887310371
178	0.3883813063
179	0.3881316223
180	0.3877713896
181	0.3875268552
182	0.3872206418
183	0.3868156866
184	0.3866893737
185	0.3864302658
186	0.3862574637
187	0.3859753412
188	0.3856662627
189	0.385437802
190	0.3848546869
191	0.3846489394
192	0.3844751902
193	0.3842757292
194	0.3839582957
195	0.3837870422
196	0.3834742613
197	0.3832350398
198	0.382988077
199	0.3827545574
200	0.3825793014
201	0.3824044008
202	0.3821835749
203	0.3819606929
204	0.3815947404
205	0.3812198318
206	0.3809712108
207	0.3808263813
208	0.3804227808
209	0.380238049
210	0.3800972302
211	0.3799132786
212	0.3796636829
213	0.3793476128
214	0.3792066938
215	0.3790903802
216	0.3789478428
217	0.3787678246
218	0.3786031537
219	0.3784461983
220	0.3782662562
221	0.3780928816
222	0.377901997
223	0.377730695
224	0.3774807843
225	0.3771774755
226	0.3768994988
227	0.3766572568
228	0.3764026375
229	0.3760802405
230	0.3758942748
231	0.3757463355
232	0.3755117106
233	0.3752995107
234	0.3751622102
235	0.3750133331
236	0.3747689937
237	0.3745067645
238	0.3742781445
239	0.3739504594
240	0.3738023946
241	0.3735692961
242	0.373346369
243	0.3732166095
244	0.3729850996
245	0.3727661678
246	0.3726333105
247	0.3724271028
248	0.3722685003
249	0.3721494825
250	0.3717433849
251	0.371513608
252	0.3712700138
253	0.3711349093
254	0.3708996877
255	0.3707034293
256	0.3705771491
257	0.3704508661
258	0.3702849412
259	0.3700616532
260	0.3698979572
261	0.369773112
262	0.3695556478
263	0.3693542015
264	0.3692217957
265	0.3689340858
266	0.3687673917
267	0.368602145
268	0.3684692941
269	0.3683478306
270	0.3682541805
271	0.3681131879
272	0.3679453619
273	0.3678446396
274	0.3674704898
275	0.3673589959
276	0.3672035477
277	0.3669635839
278	0.3668092753
279	0.3666053967
280	0.3665009978
281	0.3663815293
282	0.3662474021
283	0.3661110024
284	0.3659001301
285	0.3657682786
286	0.3656170111
287	0.3655166579
288	0.3654206409
289	0.3651901117
290	0.3649620441
291	0.3647093748
292	0.3646038016
293	0.3642884231
294	0.3641642877
295	0.3639847823
296	0.3638923851
297	0.3636986314
298	0.3633157347
299	0.363195766
300	0.3630592904
301	0.362708011
302	0.3624971156
303	0.3624152032
304	0.3622856891
305	0.36214383
306	0.3620509179
307	0.3619299698
