iter	Passed	Remaining
0	2	1310
1	5	1246
2	7	1210
3	9	1177
4	11	1139
5	14	1164
6	16	1151
7	18	1153
8	21	1165
9	23	1164
10	26	1164
11	28	1168
12	30	1160
13	33	1173
14	36	1165
15	38	1171
16	41	1177
17	44	1183
18	46	1177
19	49	1179
20	51	1180
21	54	1182
22	56	1179
23	59	1179
24	62	1182
25	64	1179
26	66	1172
27	69	1163
28	71	1154
29	73	1146
30	75	1139
31	77	1136
32	79	1128
33	81	1120
34	83	1115
35	86	1113
36	88	1108
37	90	1104
38	92	1097
39	94	1089
40	96	1081
41	98	1077
42	101	1075
43	103	1074
44	105	1071
45	108	1067
46	110	1065
47	112	1062
48	115	1064
49	118	1063
50	120	1062
51	122	1057
52	124	1052
53	126	1048
54	128	1043
55	131	1040
56	133	1036
57	135	1033
58	137	1029
59	140	1026
60	142	1023
61	145	1025
62	147	1021
63	149	1018
64	151	1016
65	154	1014
66	156	1013
67	159	1013
68	161	1009
69	163	1007
70	166	1008
71	169	1006
72	171	1003
73	173	1000
74	175	996
75	178	993
76	180	990
77	182	986
78	184	984
79	186	980
80	188	976
81	191	975
82	193	972
83	195	968
84	198	966
85	199	962
86	202	960
87	204	956
88	206	953
89	208	950
90	210	946
91	212	943
92	215	940
93	217	938
94	219	936
95	221	933
96	224	930
97	226	928
98	228	924
99	230	922
100	232	920
101	235	918
102	237	916
103	239	913
104	242	910
105	244	908
106	247	907
107	249	904
108	251	901
109	253	898
110	255	896
111	258	894
112	260	892
113	262	889
114	265	887
115	267	884
116	269	881
117	271	878
118	273	876
119	275	873
120	278	871
121	280	868
122	282	866
123	285	864
124	287	862
125	289	859
126	292	857
127	294	856
128	296	853
129	299	853
130	302	852
131	305	852
132	308	851
133	311	849
134	313	847
135	315	845
136	318	843
137	320	841
138	323	839
139	325	837
140	328	835
141	330	833
142	332	830
143	334	827
144	337	825
145	339	823
146	342	821
147	344	819
148	346	817
149	349	814
150	351	813
151	354	811
152	356	808
153	359	806
154	361	804
155	363	801
156	365	798
157	368	796
158	370	794
159	372	792
160	374	789
161	377	787
162	379	784
163	382	782
164	384	781
165	387	780
166	390	778
167	392	775
168	394	773
169	396	770
170	399	767
171	401	765
172	403	762
173	405	759
174	407	756
175	409	753
176	411	751
177	413	748
178	415	745
179	418	743
180	420	740
181	422	737
182	424	735
183	426	733
184	429	730
185	431	728
186	434	726
187	436	724
188	438	721
189	441	719
190	443	717
191	445	714
192	447	712
193	449	709
194	452	707
195	453	704
196	456	701
197	458	699
198	460	696
199	462	694
200	465	692
201	467	690
202	470	687
203	472	685
204	474	683
205	476	680
206	479	678
207	481	675
208	483	673
209	486	671
210	488	669
211	491	667
212	493	664
213	495	662
214	497	659
215	500	657
216	502	654
217	504	652
218	506	650
219	508	647
220	511	645
221	513	642
222	515	640
223	517	638
224	520	636
225	522	633
226	524	631
227	527	628
228	529	626
229	531	623
230	534	622
231	536	619
232	538	617
233	541	614
234	543	612
235	545	610
236	547	607
237	550	605
238	552	603
239	554	600
240	556	598
241	558	595
242	560	593
243	563	590
244	565	588
245	567	585
246	569	583
247	571	580
248	573	578
249	576	576
250	578	573
251	580	571
252	582	568
253	584	566
254	587	564
255	588	561
256	591	559
257	593	556
258	595	554
259	597	551
260	599	549
261	601	546
262	603	544
263	605	541
264	608	539
265	610	537
266	612	534
267	614	532
268	617	530
269	619	527
270	621	525
271	624	523
272	626	520
273	628	518
274	630	515
275	632	513
276	634	510
277	637	508
278	639	506
279	641	503
280	643	501
281	645	499
282	648	496
283	650	494
284	652	492
285	654	490
286	657	487
287	659	485
288	661	483
289	663	480
290	667	479
291	669	476
292	671	474
293	674	472
294	676	469
295	679	468
296	681	465
297	684	463
298	687	461
299	689	459
300	691	457
301	693	454
302	696	452
303	698	450
304	701	448
305	703	445
306	705	443
307	707	441
308	709	438
309	712	436
310	714	434
311	716	431
312	719	429
313	721	427
314	724	425
315	726	423
316	728	420
317	730	418
318	733	416
319	735	413
320	738	411
321	740	409
322	742	406
323	745	404
324	747	402
325	749	400
326	752	397
327	754	395
328	756	393
329	759	391
330	762	389
331	764	386
332	767	384
333	770	382
334	773	380
335	775	378
336	778	376
337	781	374
338	783	372
339	786	370
340	788	367
341	790	365
342	792	362
343	794	360
344	797	358
345	799	355
346	802	353
347	804	351
348	806	348
349	808	346
350	810	344
351	813	341
352	815	339
353	817	337
354	819	334
355	821	332
356	823	330
357	826	327
358	828	325
359	830	323
360	833	320
361	835	318
362	837	316
363	839	313
364	841	311
365	843	308
366	845	306
367	847	304
368	850	301
369	852	299
370	854	297
371	856	294
372	858	292
373	861	290
374	863	287
375	866	285
376	868	283
377	870	280
378	872	278
379	874	276
380	876	273
381	878	271
382	880	269
383	883	266
384	885	264
385	887	262
386	890	260
387	892	257
388	894	255
389	897	253
390	899	250
391	901	248
392	904	246
393	906	243
394	909	241
395	911	239
396	913	237
397	915	234
398	918	232
399	920	230
400	922	227
401	924	225
402	927	223
403	929	220
404	931	218
405	933	216
406	947	216
407	950	214
408	953	212
409	956	209
410	959	207
411	961	205
412	964	203
413	967	200
414	969	198
415	971	196
416	974	193
417	976	191
418	978	189
419	981	186
420	983	184
421	985	182
422	987	179
423	989	177
424	991	175
425	994	172
426	996	170
427	998	167
428	1000	165
429	1002	163
430	1004	160
431	1006	158
432	1008	156
433	1010	153
434	1012	151
435	1015	148
436	1016	146
437	1019	144
438	1021	141
439	1023	139
440	1025	137
441	1027	134
442	1029	132
443	1031	130
444	1033	127
445	1035	125
446	1037	123
447	1040	120
448	1042	118
449	1044	116
450	1046	113
451	1048	111
452	1050	109
453	1052	106
454	1055	104
455	1057	102
456	1059	99
457	1062	97
458	1065	95
459	1068	92
460	1071	90
461	1074	88
462	1077	86
463	1079	83
464	1082	81
465	1084	79
466	1087	76
467	1089	74
468	1092	72
469	1094	69
470	1096	67
471	1098	65
472	1101	62
473	1103	60
474	1105	58
475	1108	55
476	1110	53
477	1112	51
478	1115	48
479	1117	46
480	1120	44
481	1123	41
482	1126	39
483	1128	37
484	1131	34
485	1134	32
486	1137	30
487	1140	28
488	1143	25
489	1146	23
490	1148	21
491	1150	18
492	1153	16
493	1155	14
494	1157	11
495	1159	9
496	1162	7
497	1164	4
498	1167	2
499	1169	0
